"id","name","address","local","city","state","zip","lat","lng","phone","description","created_at","updated_at"
"93","Jake Justice Canine Inc","1442 Peters Blvd","Bay Shore, NY 11706","Bay Shore","NY","11706",NULL,NULL,"(631) 665-7297","21. Jake Justice Canine IncPet Boarding & KennelsKennelsPet Sitting & Exercising ServicesWebsite13 Yearsin Business",NULL,NULL
"94","Valley Inn For Pets","320 Russell St # 9539","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 584-5252","2. Valley Inn For PetsPet Boarding & KennelsWebsite",NULL,NULL
"95","The Dog Sitter","166 Continental Ave","East Northport, NY 11731","East Northport","NY","11731",NULL,NULL,"(631) 495-5175","22. The Dog SitterPet Boarding & KennelsPet StoresWebsite",NULL,NULL
"96","Pet Hotel Hadley","155 Russell St","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 586-5525","3. Pet Hotel HadleyPet Boarding & KennelsPet GroomingPet Supplies & Foods-Wholesale & ManufacturersWebsite10 Yearsin Business",NULL,NULL
"97","Camp Bow Wow","660 Wellwood Ave","Lindenhurst, NY 11757","Lindenhurst","NY","11757",NULL,NULL,"(631) 801-0243","23. Camp Bow WowPet Boarding & KennelsPet ServicesPet Sitting & Exercising ServicesWebsite",NULL,NULL
"98","Shirley Veterinary Hospital","1010 Montauk Hwy","Shirley, NY 11967","Shirley","NY","11967",NULL,NULL,"(631) 281-8820","57. Shirley Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices11 Yearsin BusinessAccreditedBusiness",NULL,NULL
"99","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","4. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"100","Pet Expressions","810 Middle Country Rd Ste 3","Saint James, NY 11780","Saint James","NY","11780",NULL,NULL,"(631) 361-3331","49. Pet ExpressionsPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"101","Brookhaven Cat Hospital","60 Route 25a Ste 3","Setauket, NY 11733","Setauket","NY","11733",NULL,NULL,"(631) 689-8282","58. Brookhaven Cat HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServices20 Yearsin Business",NULL,NULL
"102","Sundown Kennels","173 Beverly Rd","South Huntington, NY 11746","South Huntington","NY","11746",NULL,NULL,"(631) 423-6280","24. Sundown KennelsPet Boarding & KennelsPet ServicesPet TrainingWebsite44 Yearsin Business",NULL,NULL
"103","Island Puppies","543 Main St","Islip, NY 11751","Islip","NY","11751",NULL,NULL,"(631) 624-5580","60. Island PuppiesPet Boarding & KennelsPet ServicesPet Food38 Yearsin Business",NULL,NULL
"104","Pamela Brown DVM","1191 Montauk Hwy","Oakdale, NY 11769","Oakdale","NY","11769",NULL,NULL,"(631) 567-3050","50. Pamela Brown DVMPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsServices",NULL,NULL
"105","Contented Cats","340 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 813-1718","5. Contented CatsPet Boarding & KennelsPet Sitting & Exercising Services6 Yearsin BusinessAccreditedBusiness",NULL,NULL
"106","Kentuc German Shepherds","1453 Carlls Straight Path","Dix Hills, NY 11746","Dix Hills","NY","11746",NULL,NULL,"(631) 499-8755","25. Kentuc German ShepherdsPet Boarding & KennelsKennels29 Yearsin Business",NULL,NULL
"107","Emerald City Dog Spa","526 Route 25a","Rocky Point, NY 11778","Rocky Point","NY","11778",NULL,NULL,"(631) 849-5234","62. Emerald City Dog SpaPet Boarding & KennelsKennelsPet Grooming(3)17 Yearsin Business",NULL,NULL
"108","Bow Wow Resort","203 Long Plain Rd","South Deerfield, MA 01373","South Deerfield","MA","01373",NULL,NULL,"(413) 397-9792","6. Bow Wow ResortPet Boarding & Kennels",NULL,NULL
"109","Planet Pooches Inc","157 Chestnut St","Mount Sinai, NY 11766","Mount Sinai","NY","11766",NULL,NULL,"(631) 743-9410","51. Planet Pooches IncPet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"110","Stone Alan L Knolls","266 Broadway Greenlawn","Huntington, NY 11743","Huntington","NY","11743",NULL,NULL,"(631) 757-4747","27. Stone Alan L KnollsPet Boarding & KennelsWebsite",NULL,NULL
"111","Brookhaven Cat Hospital","60 Route 25A Ste 3","East Setauket, NY 11733","East Setauket","NY","11733",NULL,NULL,"(631) 689-8282","52. Brookhaven Cat HospitalPet Boarding & KennelsDog & Cat Grooming & SuppliesPet Services(40)WebsiteDirections20 Yearsin Business",NULL,NULL
"112","Sachem Animal Hospital","227 Union Ave","Holbrook, NY 11741","Holbrook","NY","11741",NULL,NULL,"(631) 467-2121","28. Sachem Animal HospitalPet Boarding & KennelsVeterinariansPet Services(4)WebsiteServices40 Yearsin Business",NULL,NULL
"113","Pooch Pad","132 Carleton Ave","East Islip, NY 11730","East Islip","NY","11730",NULL,NULL,"(631) 277-4333","53. Pooch PadPet Boarding & KennelsPet GroomingPet Stores(2)40 Yearsin BusinessAmenities:Wheelchair accessible",NULL,NULL
"114","The Training Center",,"bar, fo 11111","bar","fo","11111",NULL,NULL,"(917) 410-1710","30. The Training CenterPet Boarding & KennelsDog TrainingPet TrainingWebsite",NULL,NULL
"115","Call of the Wild","16 Old Saddle Rd","Ridge, NY 11961","Ridge","NY","11961",NULL,NULL,"(631) 953-5643","63. Call of the WildPet Boarding & KennelsPet StoresPet Services13 Yearsin Business",NULL,NULL
"116","Belchertown Boarding Kennel","176 Ware Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7641","7. Belchertown Boarding KennelPet Boarding & KennelsPet TrainingWebsite46 Yearsin BusinessAccreditedBusiness",NULL,NULL
"117","Paumanok Veterinary Hospital","639 Medford Ave","Patchogue, NY 11772","Patchogue","NY","11772",NULL,NULL,"(631) 475-1312","31. Paumanok Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsPet Services(15)Website30 Yearsin BusinessAmenities:Wheelchair accessible",NULL,NULL
"118","Save-A-Pet Animal Rescue","608 Patchogue Rd","Port Jefferson Station, NY 11776","Port Jefferson Station","NY","11776",NULL,NULL,"(631) 473-6333","54. Save-A-Pet Animal RescuePet Boarding & KennelsKennelsPet Services(2)Website26 Yearsin Business",NULL,NULL
"119","A Parade of Pets","60 Pleasant St","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 527-8036","8. A Parade of PetsPet Boarding & KennelsWebsite",NULL,NULL
"120","Manorville Pet Vet","20 Ryerson Ave","Manorville, NY 11949","Manorville","NY","11949",NULL,NULL,"(631) 722-8100","64. Manorville Pet VetPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices17 Yearsin Business",NULL,NULL
"121","D-Dogs","2646 Route 112","Medford, NY 11763","Medford","NY","11763",NULL,NULL,"(631) 714-5790","32. D-DogsPet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"122","All 4 Paws","392 Carnation Dr","Shirley, NY 11967","Shirley","NY","11967",NULL,NULL,"(631) 205-0025","55. All 4 PawsPet Boarding & KennelsPet Sitting & Exercising ServicesPet Stores",NULL,NULL
"123","Quail Run Kennels","126 Peconic Ave","Medford, NY 11763","Medford","NY","11763",NULL,NULL,"(631) 475-4573","33. Quail Run KennelsPet Boarding & KennelsPet ServicesDog Training(16)CouponsDirections50 Yearsin BusinessAccreditedBusiness",NULL,NULL
"124","Maplewood Boarding Kennels","16 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9621","9. Maplewood Boarding KennelsPet Boarding & Kennels34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"125","Earth Dog","1515 Main St","Port Jefferson, NY 11777","Port Jefferson","NY","11777",NULL,NULL,"(631) 509-1805","56. Earth DogPet Boarding & KennelsPet TrainingPet GroomingWebsite",NULL,NULL
"126","Bed & Biscuit","3139 Route 112","Medford, NY 11763","Medford","NY","11763",NULL,NULL,"(631) 451-8158","34. Bed & BiscuitPet Boarding & KennelsPet Sitting & Exercising ServicesPet Grooming(1)Website26 Yearsin BusinessAccreditedBusiness",NULL,NULL
"127","Shirley Veterinary Hospital","1010 Montauk Hwy","Shirley, NY 11967","Shirley","NY","11967",NULL,NULL,"(631) 281-8820","57. Shirley Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices11 Yearsin BusinessAccreditedBusiness",NULL,NULL
"128","Pampurred Puss","149 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1077","10. Pampurred PussPet Boarding & KennelsWebsite24 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"129","Sit & Stay Pet Services of Li","780 Broadway Ave","Holbrook, NY 11741","Holbrook","NY","11741",NULL,NULL,"(631) 319-1310","36. Sit & Stay Pet Services of LiPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"130","Brookhaven Cat Hospital","60 Route 25a Ste 3","Setauket, NY 11733","Setauket","NY","11733",NULL,NULL,"(631) 689-8282","58. Brookhaven Cat HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServices20 Yearsin Business",NULL,NULL
"131","The K-9 Center","1845 Pond Rd","Ronkonkoma, NY 11779","Ronkonkoma","NY","11779",NULL,NULL,"(631) 588-0000","37. The K-9 CenterPet Boarding & KennelsDog TrainingDog & Cat Furnishings & SuppliesWebsite29 Yearsin Business",NULL,NULL
"132","Island Puppies","543 Main St","Islip, NY 11751","Islip","NY","11751",NULL,NULL,"(631) 624-5580","60. Island PuppiesPet Boarding & KennelsPet ServicesPet Food38 Yearsin Business",NULL,NULL
"133","Polished Pups","3139 Route 112","Medford, NY 11763","Medford","NY","11763",NULL,NULL,"(631) 451-8158","38. Polished PupsPet Boarding & KennelsPet GroomingPet ServicesWebsite27 Yearsin Business",NULL,NULL
"134","Emerald City Dog Spa","526 Route 25a","Rocky Point, NY 11778","Rocky Point","NY","11778",NULL,NULL,"(631) 849-5234","62. Emerald City Dog SpaPet Boarding & KennelsKennelsPet Grooming(3)17 Yearsin Business",NULL,NULL
"135","Hounds Town Ronkonkoma","12 Garrity Ave","Ronkonkoma, NY 11779","Ronkonkoma","NY","11779",NULL,NULL,"(631) 467-1643","39. Hounds Town RonkonkomaPet Boarding & KennelsPet Sitting & Exercising ServicesPet ServicesWebsite16 Yearsin Business",NULL,NULL
"136","Call of the Wild","16 Old Saddle Rd","Ridge, NY 11961","Ridge","NY","11961",NULL,NULL,"(631) 953-5643","63. Call of the WildPet Boarding & KennelsPet StoresPet Services13 Yearsin Business",NULL,NULL
"137","Cozy Noses Bed & Breakfast-Pet","1535 Locust Ave","Bohemia, NY 11716","Bohemia","NY","11716",NULL,NULL,"(631) 567-7617","41. Cozy Noses Bed & Breakfast-PetPet Boarding & KennelsKennelsPet Grooming(4)Website30 Yearsin Business",NULL,NULL
"138","Manorville Pet Vet","20 Ryerson Ave","Manorville, NY 11949","Manorville","NY","11949",NULL,NULL,"(631) 722-8100","64. Manorville Pet VetPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices17 Yearsin Business",NULL,NULL
"139","Jeffrey N Krakowsky Vet","3660 Route 112","Coram, NY 11727","Coram","NY","11727",NULL,NULL,"(631) 698-1666","42. Jeffrey N Krakowsky VetPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsServices",NULL,NULL
"140","Hampton Veterinary Hospital","176 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 325-1611","65. Hampton Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians",NULL,NULL
"141","Hampton Veterinary Hospital","176 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 325-1611","65. Hampton Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians",NULL,NULL
"142","The Moriches Hospital for Animals","214 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 878-1600","66. The Moriches Hospital for AnimalsPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServices27 Yearsin Business",NULL,NULL
"143","The Moriches Hospital for Animals","214 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 878-1600","66. The Moriches Hospital for AnimalsPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServices27 Yearsin Business",NULL,NULL
"144","Tailz Pet Hotel","68 Stonehurst Ln","Dix Hills, NY 11746","Dix Hills","NY","11746",NULL,NULL,"(347) 834-2499","67. Tailz Pet HotelPet Boarding & KennelsDog & Cat Furnishings & SuppliesKennels17 Yearsin Business",NULL,NULL
"145","Mt Tom Boarding Kennel","320 Easthampton Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 533-0217","11. Mt Tom Boarding KennelPet Boarding & KennelsPet Grooming(3)Website26 Yearsin Business",NULL,NULL
"146","Domenick Di Martino Vet","5262 Sunrise Hwy","Sayville, NY 11782","Sayville","NY","11782",NULL,NULL,"(631) 589-5120","43. Domenick Di Martino VetPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsServices",NULL,NULL
"147","Center Moriches Veterinary Hospital","654 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 878-0050","68. Center Moriches Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(1)WebsiteServices33 Yearsin Business",NULL,NULL
"148","Creature Comforts Boarding Kennel Creature Comforts Boarding Kennel","111 North Rd","Westhampton, MA 01027","Westhampton","MA","01027",NULL,NULL,"(413) 527-9999","12. Creature Comforts Boarding Kennel Creature Comforts Boarding KennelPet Boarding & Kennels27 Yearsin Business",NULL,NULL
"149","Tailz Pet Hotel","68 Stonehurst Ln","Dix Hills, NY 11746","Dix Hills","NY","11746",NULL,NULL,"(347) 834-2499","67. Tailz Pet HotelPet Boarding & KennelsDog & Cat Furnishings & SuppliesKennels17 Yearsin Business",NULL,NULL
"150","Long Island Pet Nanny","25 Country Club Dr","Coram, NY 11727","Coram","NY","11727",NULL,NULL,"(631) 828-4390","44. Long Island Pet NannyPet Boarding & KennelsPet Sitting & Exercising ServicesPet Stores12 Yearsin Business",NULL,NULL
"151","Grinning Dog","250 Southampton Rd","Westhampton, MA 01027","Westhampton","MA","01027",NULL,NULL,"(413) 527-3652","13. Grinning DogPet Boarding & KennelsWebsite15 Yearsin Business",NULL,NULL
"152","Pet Connection","6275 Route 25a","Wading River, NY 11792","Wading River","NY","11792",NULL,NULL,"(631) 929-7387","70. Pet ConnectionPet Boarding & KennelsPet ServicesVeterinariansWebsiteServices45 Yearsin Business",NULL,NULL
"153","Country Canine Kennels","84 Greenwich Plns Rd","Ware, MA 01082","Ware","MA","01082",NULL,NULL,"(413) 277-0334","14. Country Canine KennelsPet Boarding & Kennels",NULL,NULL
"154","The PAWS Training Group","433 Center St","Ludlow, MA 01056","Ludlow","MA","01056",NULL,NULL,"(508) 414-7017","15. The PAWS Training GroupPet Boarding & KennelsDog TrainingPet Specialty ServicesWebsite25 Yearsin Business",NULL,NULL
"155","Center Moriches Veterinary Hospital","654 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 878-0050","68. Center Moriches Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(1)WebsiteServices33 Yearsin Business",NULL,NULL
"156","K9clubhouse Dog Hotel","358 Little East Neck Rd","West Babylon, NY 11704","West Babylon","NY","11704",NULL,NULL,"(631) 422-1971","71. K9clubhouse Dog HotelPet Boarding & KennelsPet ServicesKennels(2)Website11 Yearsin Business",NULL,NULL
"157","Starwood Animal Transport","1163 Petersham Rd","Hardwick, MA 01037","Hardwick","MA","01037",NULL,NULL,"(413) 477-6454","16. Starwood Animal TransportPet Boarding & KennelsWebsite39 Yearsin BusinessAccreditedBusiness",NULL,NULL
"158","Pet Connection","6275 Route 25a","Wading River, NY 11792","Wading River","NY","11792",NULL,NULL,"(631) 929-7387","70. Pet ConnectionPet Boarding & KennelsPet ServicesVeterinariansWebsiteServices45 Yearsin Business",NULL,NULL
"159","Mutt Rescue, Inc.","102 Grove St","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 331-0864","17. Mutt Rescue, Inc.Pet Boarding & KennelsPet GroomingWebsite",NULL,NULL
"160","K9clubhouse Dog Hotel","358 Little East Neck Rd","West Babylon, NY 11704","West Babylon","NY","11704",NULL,NULL,"(631) 422-1971","71. K9clubhouse Dog HotelPet Boarding & KennelsPet ServicesKennels(2)Website11 Yearsin Business",NULL,NULL
"161","Pet & Home Sitter","36 Oak Neck Ln","West Islip, NY 11795","West Islip","NY","11795",NULL,NULL,"(631) 482-1310","72. Pet & Home SitterPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite18 Yearsin Business",NULL,NULL
"162","The Barn Cat","2136 Baptist Hill Rd","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 364-5556","18. The Barn CatPet Boarding & KennelsWebsite",NULL,NULL
"163","Pet & Home Sitter","36 Oak Neck Ln","West Islip, NY 11795","West Islip","NY","11795",NULL,NULL,"(631) 482-1310","72. Pet & Home SitterPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite18 Yearsin Business",NULL,NULL
"164","Basic Pet Care Animal Hospital - Dr. Peter Lugten","642 Route 109","Lindenhurst, NY 11757","Lindenhurst","NY","11757",NULL,NULL,"(631) 694-0330","73. Basic Pet Care Animal Hospital - Dr. Peter LugtenPet Boarding & KennelsVeterinary Clinics & HospitalsPet Services(8)WebsiteServices34 Yearsin Business",NULL,NULL
