"id","name","address","local","city","state","zip","lat","lng","phone","description"
"51","Grooming Alternative","59 W Main St","Smithtown, NY 11787","Smithtown",,"11787","40.855292","-73.209738","(631) 257-5111","61. Grooming AlternativePet Grooming"
"52","Smithtown Social","281 W Main St","Smithtown, NY 11787","Smithtown",,"11787","40.855292","-73.209738","(631) 656-5777","62. Smithtown SocialPet GroomingWebsiteAmenities:Offers outdoor seatingWheelchair accessibleServes alcoholTakes reservations"
"53","Beauty For the Beast","394 Wellwood Dr","Shirley, NY 11967","Shirley",,"11967","40.795028","-72.869264","(631) 924-3411","64. Beauty For the BeastPet GroomingWebsite30YEARSIN BUSINESS"
"54","Stonybrook Dog Grooming","1009 N Country Rd","Stony Brook, NY 11790","Stony Brook",,"11790","40.905287","-73.125351","(631) 751-2008","66. Stonybrook Dog GroomingPet Grooming"
"55","Feasts For Beasts","45 Route 25a","Mount Sinai, NY 11766","Mount Sinai",,"11766","40.931723","-73.012963","(631) 331-1150","67. Feasts For BeastsPet GroomingPet Stores45YEARSIN BUSINESS"
"56","Paws N Claws","159 Route 25A","Mount Sinai, NY 11766","Mount Sinai",,"11766","40.931723","-73.012963","(631) 928-3536","68. Paws N ClawsPet Grooming"
"57","North Shore Valet Grooming","227 Larch Ln","Smithtown, NY 11787","Smithtown",,"11787","40.855292","-73.209738","(631) 979-2537","70. North Shore Valet GroomingPet Grooming17YEARSIN BUSINESS"
"58","Elite Pet Grooming","1473 Montauk Hwy # B","Mastic, NY 11950","Mastic",,"11950","40.806599","-72.840193","(631) 399-3500","71. Elite Pet GroomingPet Grooming(1)Website23YEARSIN BUSINESS"
"59","Pooch Pad","132 Carleton Ave","East Islip, NY 11730","East Islip",,"11730","40.728521","-73.186687","(631) 277-4333","73. Pooch PadPet GroomingPet Boarding & KennelsPet Stores(2)40YEARSIN BUSINESSAmenities:Wheelchair accessible"
"60","Just Grooming","260 Moriches Middle Island Rd","Manorville, NY 11949","Manorville",,"11949","40.85218","-72.788976","(631) 399-1289","75. Just GroomingPet Grooming(2)19YEARSIN BUSINESS"
"61","Tiger Lilly","275 Route 25a","Miller Place, NY 11764","Miller Place",,"11764","40.946583","-72.995207","(631) 403-4633","76. Tiger LillyPet GroomingWebsiteAmenities:Offers outdoor seating"
"62","Townsend Barbara","117 Woodlot Rd","Ridge, NY 11961","Ridge",,"11961","40.905116","-72.878039","(631) 924-8701","77. Townsend BarbaraPet Grooming"
"63","GUNTHERS GROOMING HOUSE","57 Breston Dr E","Shirley, NY 11967","Shirley",,"11967","40.795028","-72.869264","(631) 566-6472","78. GUNTHERS GROOMING HOUSEPet GroomingWebsite8YEARSIN BUSINESS"
"64","Lad & Lassie Dog & Cat Grooming Inc","559 Grand Blvd","Brentwood, NY 11717","Brentwood",,"11717","40.781739","-73.243911","(631) 277-2562","79. Lad & Lassie Dog & Cat Grooming IncPet Grooming"
"65","Cosmopawlitan Pet Sal","320 Main St","Islip, NY 11751","Islip",,"11751","40.732034","-73.213359","(631) 650-5588","83. Cosmopawlitan Pet SalPet GroomingPet Services"
"66","Wags to Woof Mobile Grooming","55 Cove Dr","Sound Beach, NY 11789","Sound Beach",,"11789","40.9539","-72.97881","(631) 849-2921","84. Wags to Woof Mobile GroomingPet Grooming16YEARSIN BUSINESS"
"67","Posh Pets","75 Commerce Dr","Hauppauge, NY 11788","Hauppauge",,"11788","40.816902","-73.210989","(631) 434-7514","85. Posh PetsPet Grooming"
"68","Quality Master Grooming","379 New York 25a E","Rocky Point, NY 11778","Rocky Point",,"11778","40.949705","-72.93642","(631) 744-1000","86. Quality Master GroomingPet GroomingWebsite"
"69","Pet Boutique","197 Main St","East Setauket, NY 11733","East Setauket",,"11733","40.93285","-73.108934","(631) 675-6844","87. Pet BoutiquePet Grooming15YEARSIN BUSINESS"
"70","Feasts for Beasts of East Setauket Inc","224 Main St","East Setauket, NY 11733","East Setauket",,"11733","40.93285","-73.108934","(631) 941-1150","88. Feasts for Beasts of East Setauket IncPet Grooming"
"71","Terrier Town","89 Morris St","Brentwood, NY 11717","Brentwood",,"11717","40.781739","-73.243911","(631) 435-4746","89. Terrier TownPet GroomingWebsite46YEARSIN BUSINESS"
"72","Setauket Dog Grooming Shop","197 Main St # A","East Setauket, NY 11733","East Setauket",,"11733","40.93285","-73.108934","(631) 751-3977","91. Setauket Dog Grooming ShopPet Grooming"
"73","Four On The Floor Grooming 2","379 Ny-25A E","Rocky Point, NY 11778","Rocky Point",,"11778","40.949705","-72.93642","(631) 744-1000","92. Four On The Floor Grooming 2Pet Grooming35YEARSIN BUSINESS"
"74","All Dog Grooming","1926 Deer Park Ave","Deer Park, NY 11729","Deer Park",,"11729","40.759058","-73.325501","(631) 595-9807","93. All Dog GroomingPet GroomingWebsite54YEARSIN BUSINESSAmenities:Wheelchair accessible"
"75","Royal Pet Salon","346 Larkfield Rd","East Northport, NY 11731","East Northport",,"11731","40.864288","-73.317866","(631) 368-8008","94. Royal Pet SalonPet Grooming(6)Website10YEARSIN BUSINESS"
"76","Doggie Den","533 Montauk Hwy","East Moriches, NY 11940","East Moriches",,"11940","40.80849","-72.75228","(631) 909-8676","95. Doggie DenPet Grooming10YEARSIN BUSINESS"
"77","Doggy Divas on the Go","115 W 1st St","West Islip, NY 11795","West Islip",,"11795","40.709304","-73.299311","(631) 810-3766","96. Doggy Divas on the GoPet GroomingPet ServicesMobile Pet GroomingWebsiteDirectionsMore Info1YEARS WITH"
"78","Pet Station Inc","626 Union Blvd","West Islip, NY 11795","West Islip",,"11795","40.709304","-73.299311","(631) 422-3142","97. Pet Station IncPet GroomingPet Stores(3)36YEARSIN BUSINESS"
"79","Pawfect Pet Den","48 Broadway","Greenlawn, NY 11740","Greenlawn",,"11740","40.859896","-73.362616","(631) 942-9883","98. Pawfect Pet DenPet Grooming(3)Website11YEARSIN BUSINESS"
"80","The Soapy Dog Inc","826 E Jericho Tpke","Huntington Station, NY 11746","Huntington Station",,"11746","40.817398","-73.369148","(631) 427-7627","99. The Soapy Dog IncPet Grooming(4)13YEARSIN BUSINESSAmenities:Wheelchair accessible"
"81","TLC Pet Grooming & Day Spaw","6278 Route 25A","Wading River, NY 11792","Wading River",,"11792","40.953111","-72.840407","(631) 886-1304","100. TLC Pet Grooming & Day SpawPet Grooming(1)Website"
"82","Doggy Divas","140 W Main St","Bay Shore, NY 11706","Bay Shore",,"11706","40.733264","-73.257719","(631) 666-1717","101. Doggy DivasPet Grooming(1)19YEARSIN BUSINESS"
"83","Woof N Meow Salon","730 Sunrise Hwy","West Babylon, NY 11704","West Babylon",,"11704","40.719226","-73.359044","(631) 482-9229","102. Woof N Meow SalonPet Grooming(1)BBB Rating: A+Website11YEARSIN BUSINESS"
"84","The Posh Poodle","110 Chichester Ave","Center Moriches, NY 11934","Center Moriches",,"11934","40.800258","-72.796529","(631) 801-2441","103. The Posh PoodlePet Grooming"
"85","Grooming Pro","36 Grant Ave","Bay Shore, NY 11706","Bay Shore",,"11706","40.733264","-73.257719","(631) 375-2611","105. Grooming ProPet GroomingWebsite"
"86","Ruff Manor Dog Groming & Surplies","73 Shoreham Dr E","Dix Hills, NY 11746","Dix Hills",,"11746","40.817398","-73.369148","(631) 499-2646","107. Ruff Manor Dog Groming & SurpliesPet Grooming"
"87","Healthy Pet Grooming & Supply","563 Muncey Rd","West Islip, NY 11795","West Islip",,"11795","40.709304","-73.299311","(631) 539-7988","108. Healthy Pet Grooming & SupplyPet GroomingWebsite"
"88","A Place for Paws","1959 Jericho Tpke","East Northport, NY 11731","East Northport",,"11731","40.864288","-73.317866","(631) 499-0036","109. A Place for PawsPet GroomingWebsite"
"89","Royal Paws Inc","974 Sunrise Hwy","West Babylon, NY 11704","West Babylon",,"11704","40.719226","-73.359044","(631) 482-1688","110. Royal Paws IncPet GroomingWebsite"
"90","Kate̢??s Hair Of The Dog","220 Church St","Northport, NY 11768","Northport",,"11768","40.90285","-73.327419","(631) 651-8060","112. Kate̢??s Hair Of The DogPet Grooming8YEARSIN BUSINESS"
"91","Pans Faithful","1200 E Jericho Tpke","Huntington, NY 11743","Huntington",,"11743","40.869083","-73.4093","(631) 629-4495","114. Pans FaithfulPet Grooming"
"92","K-9 Kingdom","379 Columbus Ave","West Babylon, NY 11704","West Babylon",,"11704","40.719226","-73.359044","(516) 888-9319","115. K-9 KingdomPet Grooming"
"93","PetPort","40 Main St","Northport, NY 11768","Northport",,"11768","40.90285","-73.327419","(631) 261-7222","116. PetPortPet GroomingPet StoresBBB Rating: A+Website13YEARSIN BUSINESS"
"94","Magic Paws","616 Sunrise Hwy","West Babylon, NY 11704","West Babylon",,"11704","40.719226","-73.359044","(631) 620-3366","117. Magic PawsPet GroomingBBB Rating: A+Website10YEARSIN BUSINESS"
"95","Grooming On Broadway","70 Broadway","Greenlawn, NY 11740","Greenlawn",,"11740","40.859896","-73.362616","(631) 239-5675","118. Grooming On BroadwayPet Grooming(1)16YEARSIN BUSINESS"
"96","Cozy Pet","765 Deer Park Ave Ste 6","North Babylon, NY 11703","North Babylon",,"11703","40.7316","-73.32322","(631) 669-2099","123. Cozy PetPet Grooming21YEARSIN BUSINESS"
"97","Pet Friends","38 Vanderbilt Motor Pkwy","Commack, NY 11725","Commack",,"11725","40.837825","-73.281154","(631) 499-9797","124. Pet FriendsPet GroomingDog & Cat Furnishings & SuppliesPet Stores29YEARSIN BUSINESS"
"98","Long Island Pet Mobile","100 E Jefryn Blvd","Deer Park, NY 11729","Deer Park",,"11729","40.759058","-73.325501","(855) 544-7666","125. Long Island Pet MobilePet GroomingPet Stores"
"99","Elegant Grooming Salon","1960 Jericho Tpke","East Northport, NY 11731","East Northport",,"11731","40.864288","-73.317866","(631) 864-3266","128. Elegant Grooming SalonPet Grooming19YEARSIN BUSINESS"
"100","Deer Hills Boarding and Grooming","708 Long Island Ave","Deer Park, NY 11729","Deer Park",,"11729","40.759058","-73.325501","(631) 667-0870","129. Deer Hills Boarding and GroomingPet Grooming"
"101","Babylon Grooming Supply","732 Sunrise Hwy","West Babylon, NY 11704","West Babylon",,"11704","40.719226","-73.359044","(631) 422-2280","130. Babylon Grooming SupplyPet GroomingDog & Cat Grooming & SuppliesDog & Cat Furnishings & SuppliesWebsite"
"102","K 9 Kutz","99 Route 25a","Shoreham, NY 11786","Shoreham",,"11786","40.949365","-72.891529","(631) 744-2662","131. K 9 KutzPet GroomingWebsiteAmenities:Wheelchair accessible"
"103","All Suffolk Dog Grooming","722 Wellwood Ave","Lindenhurst, NY 11757","Lindenhurst",,"11757","40.688951","-73.376317","(631) 957-2319","133. All Suffolk Dog GroomingPet Grooming"
"104","Pets Behave","642 Route 109","Lindenhurst, NY 11757","Lindenhurst",,"11757","40.688951","-73.376317","(631) 440-2122","135. Pets BehavePet GroomingPet Stores12YEARSIN BUSINESS"
"105","Farmingville Feed","1075 Portion Rd","Farmingville, NY 11738","Farmingville",,"11738","40.837113","-73.044352","(631) 696-7387","138. Farmingville FeedPet GroomingPet StoresPet Food(5)Website18YEARSIN BUSINESSAmenities:Wheelchair accessible"
"106","Pet Supplies Plus","601 Portion Rd","Lake Ronkonkoma, NY 11779","Lake Ronkonkoma",,"11779","40.828205","-73.118972","(631) 676-4600","141. Pet Supplies PlusPet GroomingPet StoresPet Services(1)Website13YEARSIN BUSINESS"
"107","Petco","1100 Middle Country Rd","Selden, NY 11784","Selden",,"11784","40.871531","-73.043571","(631) 451-8021","142. PetcoPet GroomingPet StoresDog & Cat Furnishings & SuppliesWebsite26YEARSIN BUSINESS"
"108","Bed & Biscuit","3139 Route 112","Medford, NY 11763","Medford",,"11763","40.816842","-72.984605","(631) 451-8158","143. Bed & BiscuitPet GroomingPet Sitting & Exercising ServicesPet Boarding & Kennels(1)BBB Rating: A+Website26YEARSIN BUSINESS"
"109","Puppy Kuts Inc","580 Medford Ave","Patchogue, NY 11772","Patchogue",,"11772","40.77421","-73.00238","(631) 730-6484","144. Puppy Kuts IncPet GroomingPet ServicesWebsite16YEARSIN BUSINESS"
"110","Sayville Animal Hospital","5262 Sunrise Hwy","Sayville, NY 11782","Sayville",,"11782","40.734181","-73.080076","(631) 352-2664","146. Sayville Animal HospitalPet GroomingVeterinary Clinics & HospitalsPet ServicesWebsite37YEARSIN BUSINESS"
"111","Poochy Couture Grooming INC.","2229 route 112","Coram, NY 11727","Coram",,"11727","40.885609","-73.006703","(631) 880-3505","147. Poochy Couture Grooming INC.Pet GroomingPet ServicesDog & Cat Grooming & Supplies(1)Amenities:Wheelchair accessible"
"112","Petite Pets Boarding & Grooming Inc","141 Medford Ave","Patchogue, NY 11772","Patchogue",,"11772","40.77421","-73.00238","(631) 730-5929","148. Petite Pets Boarding & Grooming IncPet GroomingPet Boarding & KennelsKennels(2)"
"113","Best Friends Grooming","4488 Middle Country Rd","Calverton, NY 11933","Calverton",,"11933","40.924576","-72.746313","(631) 727-8107","122. Best Friends GroomingPet Grooming(1)BBB Rating: A+Website6YEARSIN BUSINESS"
"114","Swagger & Style Pet Grooming Inc","593 Montauk Hwy","Eastport, NY 11941","Eastport",,"11941","40.830437","-72.731567","(631) 801-2929","123. Swagger & Style Pet Grooming IncPet Grooming12YEARSIN BUSINESS"
"115","Angel Paws Grooming",,"Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 319-0899","140. Angel Paws GroomingPet GroomingPet ServicesDog & Cat Grooming & Supplies"
"116","Pet Styling By Angela","2425 middle country rd","Centereach, NY 11720","Centereach",,"11720","40.871518","-73.084611","(631) 913-8391","147. Pet Styling By AngelaPet GroomingPet Services"
"117","Critter Clippers","159 Medford Ave","Patchogue, NY 11772","Patchogue",,"11772","40.77421","-73.00238","(631) 447-0488","148. Critter ClippersPet GroomingPet Stores(1)Website12YEARSIN BUSINESS"
"118","Smithland Pet & Garden Center","151 Springfield St","Agawam, MA 01001","Agawam",,"01001","42.071523","-72.624257","(413) 786-3339","2. Smithland Pet & Garden CenterPet GroomingPet StoresWebsite"
"119","Pretty Paws Dog & Cat Grooming","730 Union St","West Springfield, MA 01089","West Springfield",,"01089","42.117059","-72.639407","(413) 736-5989","3. Pretty Paws Dog & Cat GroomingPet GroomingPet ServicesDog & Cat Grooming & SuppliesWebsiteDirectionsMore Info29YEARSIN BUSINESS7YEARS WITH"
"120","Pawsitive Look","865 Memorial Ave","West Springfield, MA 01089","West Springfield",,"01089","42.117059","-72.639407","(413) 306-5167","4. Pawsitive LookPet Grooming(2)7YEARSIN BUSINESS"
"121","Lucky Dog Day Spa","3 Edgewood Ave","Longmeadow, MA 01106","Longmeadow",,"01106","42.052405","-72.567774","(413) 565-4600","5. Lucky Dog Day SpaPet Grooming9YEARSIN BUSINESS"
"122","Bark & Park Mobile Grooming",,,,,,NULL,NULL,"(413) 783-1296","6. Bark & Park Mobile GroomingPet GroomingWebsite16YEARSIN BUSINESS"
"123","Creative Critter Cuts",,"Southwick, MA 01077","Southwick",,"01077","42.053564","-72.771922","(413) 569-0391","7. Creative Critter CutsPet GroomingPet ServicesDog & Cat Grooming & Supplies(2)26YEARSIN BUSINESS"
"124","Paradise Grooming Salon","582 Springfield St","Feeding Hills, MA 01030","Feeding Hills",,"01030","42.072375","-72.675163","(413) 786-3422","8. Paradise Grooming SalonPet Grooming29YEARSIN BUSINESS"
"125","Fursique Pet Spa & Grooming Salon","360 N Westfield St Ste 4","Feeding Hills, MA 01030","Feeding Hills",,"01030","42.072375","-72.675163","(413) 363-0288","9. Fursique Pet Spa & Grooming SalonPet GroomingPet ServicesPet Specialty Services(1)BBB Rating: A+Website12YEARSIN BUSINESS"
"126","Elite Pet Groomers","1209 Springfield St","Feeding Hills, MA 01030","Feeding Hills",,"01030","42.072375","-72.675163","(413) 372-5605","10. Elite Pet GroomersPet Grooming"
"127","Sanchez, Jennifer","360 N Westfield St","Feeding Hills, MA 01030","Feeding Hills",,"01030","42.072375","-72.675163","(413) 363-0288","11. Sanchez, JenniferPet Grooming"
"128","Onyx Pet Grooming","282 Darwell St","Springfield, MA 01108","Springfield",,"01108","42.082083","-72.554368","(413) 363-9166","12. Onyx Pet GroomingPet Grooming"
"129","Pampered Pets","576 N Main St","East Longmeadow, MA 01028","East Longmeadow",,"01028","42.068418","-72.504285","(413) 271-1126","15. Pampered PetsPet Grooming"
"130","Claws & Paws Pet Salon","546 Enfield St","Enfield, CT 06082","Enfield",,"06082","41.986942","-72.565275","(860) 265-2390","16. Claws & Paws Pet SalonPet GroomingWebsite8YEARSIN BUSINESS"
"131","Creative Clips Pet Salon","98 Mountain Rd","Suffield, CT 06078","Suffield",,"06078","41.986956","-72.64824","(860) 668-1328","17. Creative Clips Pet SalonPet GroomingDog & Cat Grooming & SuppliesPet Services(1)WebsiteDirectionsProductsMore Info22YEARSIN BUSINESS5YEARS WITHAmenities:Wheelchair accessible"
"132","Pampered Pooch","52 Prospect St","East Longmeadow, MA 01028","East Longmeadow",,"01028","42.068418","-72.504285","(413) 525-1644","18. Pampered PoochPet GroomingPet Boarding & KennelsPet StoresBBB Rating: A+Website49YEARSIN BUSINESS"
"133","Doggie Works","174 N Main St","East Longmeadow, MA 01028","East Longmeadow",,"01028","42.068418","-72.504285","(413) 224-1868","19. Doggie WorksPet Grooming11YEARSIN BUSINESS"
"134","Mutt Cuts","55 Main St","Chicopee, MA 01020","Chicopee",,"01020","42.1756","-72.56999","(413) 594-8144","20. Mutt CutsPet Grooming"
"135","Doggy Dooz","1512 Allen St","Springfield, MA 01118","Springfield",,"01118","42.093934","-72.527899","(413) 783-7297","21. Doggy DoozPet GroomingPet Stores(3)WebsiteServices"
"136","Dog Zone","148 Point Grove Rd","Southwick, MA 01077","Southwick",,"01077","42.053564","-72.771922","(413) 569-1420","25. Dog ZonePet GroomingPet Sitting & Exercising ServicesDog Day Care35YEARSIN BUSINESSAmenities:Wheelchair accessible"
